goi	ten	tac_gia	license	gia	tag	cach_lay
grafxkid/mini-pixel-pack-2	Mini Pixel Pack 2	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/mini-pixel-pack-2  (o repo quoc-chien)
foozlecc/pixel-magic-sprite-effects	Pixel Magic Effects	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/pixel-magic-sprite-effects  (o repo quoc-chien)
markgosbell/70-free-flat-greyscale-dungeon-assets	70+ Free Flat Greyscale Dungeon Assets	markgosbell	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs markgosbell/70-free-flat-greyscale-dungeon-assets  (o repo quoc-chien)
alexs-assets/16x16-outdoors-tileset	16x16 Outdoors Tileset	alexs-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs alexs-assets/16x16-outdoors-tileset  (o repo quoc-chien)
bakudas/generic-dungeon-pack	Generic DUNGEON Pack	bakudas	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs bakudas/generic-dungeon-pack  (o repo quoc-chien)
tiopalada/tiny-rpg-dark-dwellers-gui	Tiny RPG - Dark Dwellers GUI	tiopalada	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs tiopalada/tiny-rpg-dark-dwellers-gui  (o repo quoc-chien)
stealthix/animated-traps	Animated Traps	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/animated-traps  (o repo quoc-chien)
luizmelo/martial-hero-3	Martial Hero 3	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/martial-hero-3  (o repo quoc-chien)
hormelz/8-directional-knight	8 Directional Knight Character	hormelz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs hormelz/8-directional-knight  (o repo quoc-chien)
wenrexa/nesia01	Assets Free: UI Sci-Fi Minimalism #01	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/nesia01  (o repo quoc-chien)
foozlecc/void-environment-pack	Void - Environment Pack	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-environment-pack  (o repo quoc-chien)
gibbongl/gboracles-character-interior-pack	GB Oracles: Character & Interior Pack	gibbongl	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$5	2d	node tools/tai_itch.mjs gibbongl/gboracles-character-interior-pack  (o repo quoc-chien)
screamingbrainstudios/planetpack	2D Planet Pack 1	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/planetpack  (o repo quoc-chien)
milkandbanana/gradient-color-pallete	Gradient Color Pallete	milkandbanana	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs milkandbanana/gradient-color-pallete  (o repo quoc-chien)
ggbot/first-time-writing-font	First Time Writing! Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/first-time-writing-font  (o repo quoc-chien)
screamingbrainstudios/2d-planet-pack-2	2D Planet Pack 2	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/2d-planet-pack-2  (o repo quoc-chien)
leo-red/lucid-icon-pack	Lucid Icons	leo-red	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs leo-red/lucid-icon-pack  (o repo quoc-chien)
foozlecc/sci-fi-lab-tileset-decor-traps	Sci-fi Lab - Tileset / Decor / Traps	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/sci-fi-lab-tileset-decor-traps  (o repo quoc-chien)
ggbot/home-video-font	Home Video Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/home-video-font  (o repo quoc-chien)
luizmelo/huntress-2	Huntress 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/huntress-2  (o repo quoc-chien)
grafxkid/cave-tileset	Cave Tileset	grafxkid	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs grafxkid/cave-tileset  (o repo quoc-chien)
foozlecc/void-fleet-pack-1	Void - Fleet Pack 1 - Kla'ed	foozlecc	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs foozlecc/void-fleet-pack-1  (o repo quoc-chien)
smithygames/crow-sprite	Crow Sprite	smithygames	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs smithygames/crow-sprite  (o repo quoc-chien)
screamingbrainstudios/poker-pack	2D Poker Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/poker-pack  (o repo quoc-chien)
