id	ten	tac_gia	license	so_tam	dinh_dang	tag	cach_lay
aLVE3oD4aDr	Chapel and environment	Poly by Google	CC-BY 3.0	2458	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0yxOXBtXidg	Church	Poly by Google	CC-BY 3.0	1004	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Vq4Gik1t7c	Carpenter Gothic Church	jrich01	CC-BY 3.0		glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
frS50pQkxHv	hitching post single	Tipatat Chennavasin	CC-BY 3.0	580	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Ro6K0Yg7mx	Crops	Quaternius	CC0 1.0	0	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5GDbUJV2vQb	Farm	Poly by Google	CC-BY 3.0	988	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
cNX9BRNG6ep	Field of wheat	Poly by Google	CC-BY 3.0	4385	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
q1N3xn2SpC	Big Barn	Quaternius	CC0 1.0	3380	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5TGoA5N14c5	Tractor	Poly by Google	CC-BY 3.0	2766	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5wrqegJ4NzT	Barn	Poly by Google	CC-BY 3.0	6468	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dSjXKezYeBo	Farm	Poly by Google	CC-BY 3.0	28896	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8BQFbUMOeC	Farm Dirt	Quaternius	CC0 1.0	800	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8Unya0rw9tR	Hen	Poly by Google	CC-BY 3.0	592	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fdQd2Ayb9cU	Fertile soil	Frank Lynam	CC-BY 3.0	1837	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ZIdWHxYsUv	Open Barn	Quaternius	CC0 1.0	1612	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8n7KSxtET9J	Farm	Poly by Google	CC-BY 3.0	5016	glb	farm	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
