ten	tac_gia	license	dinh_dang	trang	cach_lay
armor-cuisses	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armor-cuisses.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armor-cuisses.svg
armor-downgrade	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armor-downgrade.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armor-downgrade.svg
armor-punch	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armor-punch.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armor-punch.svg
armor-upgrade	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armor-upgrade.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armor-upgrade.svg
armored-boomerang	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armored-boomerang.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armored-boomerang.svg
arrest	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arrest.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arrest.svg
arrow-cursor	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arrow-cursor.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arrow-cursor.svg
arrow-wings	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arrow-wings.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arrow-wings.svg
ascending-block	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ascending-block.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ascending-block.svg
asian-lantern	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/asian-lantern.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/asian-lantern.svg
asparagus	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/asparagus.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/asparagus.svg
aspergillum	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aspergillum.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aspergillum.svg
asteroid	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/asteroid.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/asteroid.svg
astronaut-helmet	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/astronaut-helmet.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/astronaut-helmet.svg
atlas	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/atlas.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/atlas.svg
atom-core	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/atom-core.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/atom-core.svg
attached-shield	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/attached-shield.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/attached-shield.svg
attack-gauge	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/attack-gauge.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/attack-gauge.svg
audio-cassette	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/audio-cassette.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/audio-cassette.svg
australia	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/australia.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/australia.svg
avocado	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/avocado.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/avocado.svg
avoidance	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/avoidance.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/avoidance.svg
axe-in-log	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/axe-in-log.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/axe-in-log.svg
axe-sword	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/axe-sword.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/axe-sword.svg
aztec-calendar-sun	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aztec-calendar-sun.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aztec-calendar-sun.svg
azul-flake	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/azul-flake.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/azul-flake.svg
baby-bottle	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/baby-bottle.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/baby-bottle.svg
baby-face	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/baby-face.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/baby-face.svg
babyfoot-players	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/babyfoot-players.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/babyfoot-players.svg
backgammon	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/backgammon.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/backgammon.svg
