id	ten	tac_gia	license	so_tam	dinh_dang	tag
6ZPbRl78eRZ	HTC Vive Headset	Marco Romero	CREATIVE_COMMONS_BY 3.0	36716	USDZ,GLTF2,GLTF1,GLB	3D,3Dmodel,Computer,curated,Device,Electronic,Hardware,Headset,HTC,RealTime,tech,VirtualReality,Vive,VR
fBvhnbGiyIl	woman	Gag Halfrunt	CREATIVE_COMMONS_BY 3.0	493718	GLTF1,GLB,GLTF2	
6dUjim6dxJV	whipper	Mathias Selander	CREATIVE_COMMONS_BY 3.0	5184	GLTF2,GLTF1,USDZ,GLB	
cwazs5TVH57	pingu walrus	Tipatat Chennavasin	CREATIVE_COMMONS_BY 3.0	1832	GLTF2,GLTF1,FBX,USDZ,OBJ,BLOCKS,GLB	AustinVRJam,curated,people
0t2ZYRBsqX-	Lighthouse	Google	CREATIVE_COMMONS_BY 3.0	3432	USDZ,GLTF2,GLTF1,GLB	beacon,curated,naval,safety,scenes,tower
fAyuZqDm-Yj	Ryan School Project	Vista Faraz	CREATIVE_COMMONS_BY 3.0	330139	USDZ,GLTF2,GLB,GLTF1	architecture
3VkMrRC0SeL	SM - Hawkins School	Scott Marshall	CREATIVE_COMMONS_BY 3.0	17135	GLTF1,USDZ,GLTF2,GLB	scenes
9fSupoLjzX7	Bed	CMHT Oculus	CREATIVE_COMMONS_BY 3.0	7522	GLTF1,USDZ,GLTF2,GLB	
75h3mi6uHuC	Car	Google	CREATIVE_COMMONS_BY 3.0	2050	USDZ,GLTF2,GLTF1,GLB	automobile,curated,driving,transport,vehicle
2F7POZNeWVB	Mario from SMB	Syl	CREATIVE_COMMONS_BY 3.0	6120	GLTF2,USDZ,BLOCKS,FBX,OBJ,GLB,GLTF1	blocks,people
fKA5UPnAAvD	MArio 64	Randy Saenz	CREATIVE_COMMONS_BY 3.0	838	GLTF2,GLB,GLTF1	
5YG1q707F5n	Monika DDLC YYB TheWaveVR	lovedoll	CREATIVE_COMMONS_BY 3.0	51109	GLTF2,USDZ,GLTF1,GLB	curated,people
aen10sGMEz3	Zombie 03 Reflective TheWaveVR	lovedoll	CREATIVE_COMMONS_BY 3.0	14934	GLTF1,GLTF2,USDZ,GLB	animals
dDuXKmyWIE0	buliding	Kendra Chen	CREATIVE_COMMONS_BY 3.0	73362	GLTF2,USDZ,GLTF1,GLB	architecture,curated
vqmBsP0WmBo	ball_pit	nil	CC0	0	GLTF2	
4jc6H1r2aCI	AR interior design_01	Teerawit Junpeng	CREATIVE_COMMONS_BY 3.0	12232	USDZ,GLB,GLTF2,GLTF1	
aLbeOSoOpXN	Gun	Google	CREATIVE_COMMONS_BY 3.0	712	GLTF1,USDZ,GLTF2,GLB	curated,objects,pistol,revolver,weapon
JUSvfR7RxVU	A dead robot	takechika	CC0	2204	BLOCKS,OBJ	
zqDqMWchp7Y	signs and chains	otori	CREATIVE_COMMONS_BY 4.0	0	OBJ	
eV232rQZrgh	Super Robot !	Romain Revert	CREATIVE_COMMONS_BY 3.0	26618	GLTF2,GLTF1,USDZ,BLOCKS,GLB	curated,tech
65QrrBZZTIv	robot	Yumiko Akabori	CREATIVE_COMMONS_BY 3.0	21140	USDZ,GLTF2,GLB,GLTF1	
1VKDpyQtqii	Car	Ignition Labs	CREATIVE_COMMONS_BY 3.0	10252	USDZ,GLTF2,GLB,GLTF1	transport
