id	ten	tac_gia	license	dinh_dang	cach_lay
356560	egghead	?	CC0	svg,png	curl -O https://openclipart.org/download/356560/egghead.svg
356559	vampire-bat	?	CC0	svg,png	curl -O https://openclipart.org/download/356559/vampire-bat.svg
356558	basketball-players	?	CC0	svg,png	curl -O https://openclipart.org/download/356558/basketball-players.svg
356557	vintage-telephone	?	CC0	svg,png	curl -O https://openclipart.org/download/356557/vintage-telephone.svg
356556	faery-queene	?	CC0	svg,png	curl -O https://openclipart.org/download/356556/faery-queene.svg
356555	faun	?	CC0	svg,png	curl -O https://openclipart.org/download/356555/faun.svg
356554	wyvern	?	CC0	svg,png	curl -O https://openclipart.org/download/356554/wyvern.svg
356553	swan-looking-at-its-reflection	?	CC0	svg,png	curl -O https://openclipart.org/download/356553/swan-looking-at-its-reflection.svg
356552	skull-and-books	?	CC0	svg,png	curl -O https://openclipart.org/download/356552/skull-and-books.svg
356551	woman-inside	?	CC0	svg,png	curl -O https://openclipart.org/download/356551/woman-inside.svg
356550	digital-scales	?	CC0	svg,png	curl -O https://openclipart.org/download/356550/digital-scales.svg
356547	pink-fairy-armadillo	?	CC0	svg,png	curl -O https://openclipart.org/download/356547/pink-fairy-armadillo.svg
356546	woman-with-cookbook	?	CC0	svg,png	curl -O https://openclipart.org/download/356546/woman-with-cookbook.svg
356545	nurse-with-blank-sign	?	CC0	svg,png	curl -O https://openclipart.org/download/356545/nurse-with-blank-sign.svg
356544	dinosaur-set	?	CC0	svg,png	curl -O https://openclipart.org/download/356544/dinosaur-set.svg
356543	three-eyed-alien-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356543/three-eyed-alien-remix.svg
356542	brace-the-trigolden-trigolden-piece-scoring-two-expert-level-ai-battle	?	CC0	svg,png	curl -O https://openclipart.org/download/356542/brace-the-trigolden-trigolden-piece-scoring-two-expert-level-ai-battle.svg
356540	yen-on-fire	?	CC0	svg,png	curl -O https://openclipart.org/download/356540/yen-on-fire.svg
356539	flower-in-circle	?	CC0	svg,png	curl -O https://openclipart.org/download/356539/flower-in-circle.svg
356538	by-the-sea	?	CC0	svg,png	curl -O https://openclipart.org/download/356538/by-the-sea.svg
356537	cat	?	CC0	svg,png	curl -O https://openclipart.org/download/356537/cat.svg
356536	merfolk	?	CC0	svg,png	curl -O https://openclipart.org/download/356536/merfolk.svg
356535	athletics	?	CC0	svg,png	curl -O https://openclipart.org/download/356535/athletics.svg
356534	red-fire-hydrant	?	CC0	svg,png	curl -O https://openclipart.org/download/356534/red-fire-hydrant.svg
356533	fate	?	CC0	svg,png	curl -O https://openclipart.org/download/356533/fate.svg
356532	books-with-cobweb	?	CC0	svg,png	curl -O https://openclipart.org/download/356532/books-with-cobweb.svg
356530	athletics	?	CC0	svg,png	curl -O https://openclipart.org/download/356530/athletics.svg
356529	lawyer-full-reconstructed-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356529/lawyer-full-reconstructed-remix.svg
356528	yen-value-down	?	CC0	svg,png	curl -O https://openclipart.org/download/356528/yen-value-down.svg
356527	united-on-earth-full-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356527/united-on-earth-full-remix.svg
356596	trees	?	CC0	svg,png	curl -O https://openclipart.org/download/356596/trees.svg
356595	watermelon-slice	?	CC0	svg,png	curl -O https://openclipart.org/download/356595/watermelon-slice.svg
356594	abstract-background	?	CC0	svg,png	curl -O https://openclipart.org/download/356594/abstract-background.svg
356593	oak-and-pine	?	CC0	svg,png	curl -O https://openclipart.org/download/356593/oak-and-pine.svg
356592	mermaid	?	CC0	svg,png	curl -O https://openclipart.org/download/356592/mermaid.svg
356591	hippocampus	?	CC0	svg,png	curl -O https://openclipart.org/download/356591/hippocampus.svg
356590	brittle-star	?	CC0	svg,png	curl -O https://openclipart.org/download/356590/brittle-star.svg
356589	horse	?	CC0	svg,png	curl -O https://openclipart.org/download/356589/horse.svg
356588	gerbil	?	CC0	svg,png	curl -O https://openclipart.org/download/356588/gerbil.svg
356587	destiny	?	CC0	svg,png	curl -O https://openclipart.org/download/356587/destiny.svg
356586	melpomene-20	?	CC0	svg,png	curl -O https://openclipart.org/download/356586/melpomene-20.svg
356585	magic-circle-with-dragons	?	CC0	svg,png	curl -O https://openclipart.org/download/356585/magic-circle-with-dragons.svg
356584	face-multi-norstrils-colors-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356584/face-multi-norstrils-colors-remix.svg
356583	skorpion	?	CC0	svg,png	curl -O https://openclipart.org/download/356583/skorpion.svg
356581	butterfly	?	CC0	svg,png	curl -O https://openclipart.org/download/356581/butterfly.svg
356580	emperor-penguin	?	CC0	svg,png	curl -O https://openclipart.org/download/356580/emperor-penguin.svg
356579	number-animals-10-cause-why-not	?	CC0	svg,png	curl -O https://openclipart.org/download/356579/number-animals-10-cause-why-not.svg
356578	face-multi-nostrils	?	CC0	svg,png	curl -O https://openclipart.org/download/356578/face-multi-nostrils.svg
356577	kissing-in-the-dark	?	CC0	svg,png	curl -O https://openclipart.org/download/356577/kissing-in-the-dark.svg
356576	dolly-parton	?	CC0	svg,png	curl -O https://openclipart.org/download/356576/dolly-parton.svg
356575	year-calendar	?	CC0	svg,png	curl -O https://openclipart.org/download/356575/year-calendar.svg
356574	january-calendar	?	CC0	svg,png	curl -O https://openclipart.org/download/356574/january-calendar.svg
356573	big-head-man-in-a-suit	?	CC0	svg,png	curl -O https://openclipart.org/download/356573/big-head-man-in-a-suit.svg
356571	valentines-day-february	?	CC0	svg,png	curl -O https://openclipart.org/download/356571/valentines-day-february.svg
356570	blue-sillicone-bracelet	?	CC0	svg,png	curl -O https://openclipart.org/download/356570/blue-sillicone-bracelet.svg
356569	black-bear	?	CC0	svg,png	curl -O https://openclipart.org/download/356569/black-bear.svg
356568	trirhombus-the-second-match-ialso-beat-the-expert-level-ai-in-mobile	?	CC0	svg,png	curl -O https://openclipart.org/download/356568/trirhombus-the-second-match-ialso-beat-the-expert-level-ai-in-mobile.svg
